points of the polygon input are
(-999,967)
(-999,-39)
(-980,-39)
(-980,264)
(-909,264)
(-909,593)
(-940,593)
(-940,633)
(-856,633)
(-856,582)
(-820,582)
(-820,559)
(-824,559)
(-824,315)
(-882,315)
(-882,203)
(-811,203)
(-811,141)
(-776,141)
(-776,698)
(-744,698)
(-744,260)
(-702,260)
(-702,561)
(-706,561)
(-706,489)
(-715,489)
(-715,432)
(-718,432)
(-718,626)
(-689,626)
(-689,571)
(-659,571)
(-659,436)
(-607,436)
(-607,637)
(-509,637)
(-509,787)
(-493,787)
(-493,806)
(-353,806)
(-353,817)
(-276,817)
(-276,818)
(-518,818)
(-518,827)
(-662,827)
(-662,723)
(-960,723)
(-960,678)
(-977,678)
(-977,797)
(-839,797)
(-839,908)
(-661,908)
(-661,875)
(-612,875)
(-612,841)
(-584,841)
(-584,883)
(38,883)
(38,870)
(271,870)
(271,878)
(332,878)
(332,804)
(264,804)
(264,775)
(160,775)
(160,810)
(185,810)
(185,814)
(-103,814)
(-103,781)
(86,781)
(86,778)
(-236,778)
(-236,720)
(-403,720)
(-403,624)
(-397,624)
(-397,712)
(-244,712)
(-244,691)
(-174,691)
(-174,718)
(-189,718)
(-189,759)
(-69,759)
(-69,663)
(-51,663)
(-51,634)
(-156,634)
(-156,619)
(-231,619)
(-231,589)
(-383,589)
(-383,566)
(79,566)
(79,614)
(405,614)
(405,619)
(438,619)
(438,568)
(420,568)
(420,520)
(524,520)
(524,656)
(735,656)
(735,805)
(753,805)
(753,739)
(800,739)
(800,813)
(722,813)
(722,729)
(705,729)
(705,754)
(404,754)
(404,700)
(284,700)
(284,747)
(252,747)
(252,710)
(120,710)
(120,712)
(22,712)
(22,606)
(-1,606)
(-1,683)
(21,683)
(21,731)
(15,731)
(15,763)
(188,763)
(188,765)
(336,765)
(336,777)
(485,777)
(485,796)
(629,796)
(629,832)
(646,832)
(646,834)
(814,834)
(814,599)
(780,599)
(780,487)
(772,487)
(772,432)
(762,432)
(762,475)
(725,475)
(725,440)
(601,440)
(601,386)
